timestamp;rawx;rawy;filteredx;filteredy;currentLineNumber
2021-02-22-10-21-50-901;0;0;0;0;-1
2021-02-22-10-21-51-011;0;0;0;0;-1
2021-02-22-10-21-51-024;0;0;0;0;-1
2021-02-22-10-21-51-049;0;0;0;0;-1
2021-02-22-10-21-51-075;0;0;0;0;-1
2021-02-22-10-21-51-100;0;0;0;0;-1
2021-02-22-10-21-51-124;0;0;0;0;-1
2021-02-22-10-21-51-139;0;0;0;0;-1
2021-02-22-10-21-51-157;0;0;0;0;-1
2021-02-22-10-21-51-173;0;0;0;0;-1
2021-02-22-10-21-51-190;0;0;0;0;-1
2021-02-22-10-21-51-206;0;0;0;0;-1
2021-02-22-10-21-51-223;0;0;0;0;-1
2021-02-22-10-21-51-239;0;0;0;0;-1
2021-02-22-10-21-51-257;0;0;0;0;-1
2021-02-22-10-21-51-273;0;0;0;0;-1
2021-02-22-10-21-51-291;0;0;0;0;-1
2021-02-22-10-21-51-308;0;0;0;0;-1
2021-02-22-10-21-51-323;0;0;0;0;-1
2021-02-22-10-21-51-356;0;0;0;0;-1
2021-02-22-10-21-51-372;0;0;0;0;-1
2021-02-22-10-21-51-390;0;0;0;0;-1
2021-02-22-10-21-51-406;0;0;0;0;-1
2021-02-22-10-21-51-423;0;0;0;0;-1
2021-02-22-10-21-51-439;0;0;0;0;-1
2021-02-22-10-21-51-456;0;0;0;0;-1
2021-02-22-10-21-51-472;0;0;0;0;-1
2021-02-22-10-21-51-491;0;0;0;0;-1
2021-02-22-10-21-51-506;0;0;0;0;-1
2021-02-22-10-21-51-524;0;0;0;0;-1
2021-02-22-10-21-51-539;0;0;0;0;-1
2021-02-22-10-21-51-557;0;0;0;0;-1
2021-02-22-10-21-51-572;0;0;0;0;-1
2021-02-22-10-21-51-590;0;0;0;0;-1
2021-02-22-10-21-51-607;0;0;0;0;-1
2021-02-22-10-21-51-623;0;0;0;0;-1
2021-02-22-10-21-51-657;0;0;0;0;-1
2021-02-22-10-21-51-673;0;0;0;0;-1
2021-02-22-10-21-51-691;0;0;0;0;-1
2021-02-22-10-21-51-706;0;0;0;0;-1
2021-02-22-10-21-51-739;0;0;0;0;-1
2021-02-22-10-21-51-757;0;0;0;0;-1
2021-02-22-10-21-51-772;0;0;0;0;-1
2021-02-22-10-21-51-791;1406;788;1.60025;0;-1
2021-02-22-10-21-51-806;1402;779;7.84038;0;-1
2021-02-22-10-21-51-823;1395;767;19.8431;0;-1
2021-02-22-10-21-51-839;1382;751;36.9816;0;-1
2021-02-22-10-21-51-856;1360;726;58.6372;0;-1
2021-02-22-10-21-51-872;1355;721;84.22;0;-1
2021-02-22-10-21-51-889;1341;710;113.195;0;-1
2021-02-22-10-21-51-905;1327;698;145.062;0;-1
2021-02-22-10-21-51-919;1308;684;179.336;0;-1
2021-02-22-10-21-51-935;1287;668;215.554;0;-1
2021-02-22-10-21-51-952;1265;650;253.276;0;-1
2021-02-22-10-21-51-968;1234;625;292.08;0;-1
2021-02-22-10-21-51-985;1199;595;331.555;0;-1
2021-02-22-10-21-51-998;1177;571;371.316;0;-1
2021-02-22-10-21-52-015;1156;544;411.044;0;-1
