timestamp;rawx;rawy;filteredx;filteredy;currentLineNumber
2021-02-22-10-20-33-153;1212;484;1259.2;251.338;1
2021-02-22-10-20-33-169;1212;484;1261.34;266.619;2
2021-02-22-10-20-33-186;1212;484;1263.06;281.584;2
2021-02-22-10-20-33-202;1212;484;1264.39;296.195;2
2021-02-22-10-20-33-218;1212;484;1265.35;310.42;3
2021-02-22-10-20-33-236;1212;484;1265.98;324.228;3
2021-02-22-10-20-33-252;1212;484;1266.31;337.595;4
2021-02-22-10-20-33-270;1212;484;1266.36;350.503;4
2021-02-22-10-20-33-286;1211;484;1266.15;362.935;5
2021-02-22-10-20-33-302;1211;484;1265.72;374.878;5
2021-02-22-10-20-33-319;1211;484;1265.08;386.324;5
2021-02-22-10-20-33-335;1211;484;1264.25;397.268;6
2021-02-22-10-20-33-352;1211;484;1263.25;407.705;6
2021-02-22-10-20-33-369;1211;484;1262.11;417.636;6
2021-02-22-10-20-33-387;1211;484;1260.84;427.063;7
2021-02-22-10-20-33-403;1211;484;1259.47;435.989;7
2021-02-22-10-20-33-419;1211;484;1258;444.421;7
2021-02-22-10-20-33-436;1210;484;1256.45;452.366;7
2021-02-22-10-20-33-453;1210;484;1254.84;459.834;8
2021-02-22-10-20-33-469;1209;485;1253.17;466.835;8
2021-02-22-10-20-33-486;1208;486;1251.46;473.38;8
2021-02-22-10-20-33-503;1206;488;1249.71;479.482;8
2021-02-22-10-20-33-519;1203;493;1247.92;485.155;8
2021-02-22-10-20-33-536;1200;497;1246.09;490.412;9
2021-02-22-10-20-33-552;1197;502;1244.22;495.27;9
2021-02-22-10-20-33-569;1195;510;1242.31;499.741;9
2021-02-22-10-20-33-586;1191;520;1240.37;503.844;9
2021-02-22-10-20-33-602;1187;530;1238.38;507.592;9
2021-02-22-10-20-33-619;1181;540;1236.33;511.002;9
2021-02-22-10-20-33-636;1170;552;1234.23;514.09;9
2021-02-22-10-20-33-656;1160;568;1232.02;516.871;9
2021-02-22-10-20-33-669;1157;575;1229.7;519.363;9
2021-02-22-10-20-33-686;1155;596;1227.27;521.579;10
2021-02-22-10-20-33-702;1155;612;1224.74;523.537;10
2021-02-22-10-20-33-719;1157;630;1222.13;525.25;10
2021-02-22-10-20-33-736;1157;645;1219.46;526.735;10
2021-02-22-10-20-33-752;1155;662;1216.75;528.005;10
2021-02-22-10-20-33-770;1152;677;1214.02;529.075;10
2021-02-22-10-20-33-787;1149;687;1211.25;529.958;10
2021-02-22-10-20-33-799;1146;701;1208.46;530.669;10
2021-02-22-10-20-33-815;1146;711;1205.65;531.219;10
2021-02-22-10-20-33-832;1148;723;1202.84;531.621;10
2021-02-22-10-20-33-849;1152;739;1200.03;531.887;10
2021-02-22-10-20-33-866;1154;747;1197.27;532.029;10
2021-02-22-10-20-33-883;1156;761;1194.57;532.057;10
2021-02-22-10-20-33-899;1156;770;1191.94;531.982;10
2021-02-22-10-20-33-916;1156;779;1189.39;531.815;10
2021-02-22-10-20-33-932;1156;785;1186.93;531.563;10
2021-02-22-10-20-33-949;1156;786;1184.55;531.237;10
2021-02-22-10-20-33-966;1156;787;1182.27;530.844;10
2021-02-22-10-20-33-982;1156;787;1180.08;530.393;10
2021-02-22-10-20-33-999;1156;787;1177.99;529.892;10
2021-02-22-10-20-34-016;1156;788;1175.99;529.346;10
2021-02-22-10-20-34-032;1156;788;1174.08;528.763;10
2021-02-22-10-20-34-049;1156;788;1172.27;528.149;10
2021-02-22-10-20-34-066;1156;788;1170.55;527.51;10
2021-02-22-10-20-34-083;1156;788;1168.93;526.85;10
2021-02-22-10-20-34-099;1156;788;1167.4;526.175;10
2021-02-22-10-20-34-116;1156;788;1165.96;525.49;10
2021-02-22-10-20-34-133;1156;788;1164.61;524.797;10
2021-02-22-10-20-34-149;1156;788;1163.35;524.102;10
2021-02-22-10-20-34-166;1156;788;1162.17;523.408;10
2021-02-22-10-20-34-182;1156;788;1161.07;522.716;10
2021-02-22-10-20-34-199;1156;788;1160.05;522.36;10
2021-02-22-10-20-34-216;1156;788;1159.11;522.963;10
2021-02-22-10-20-34-233;1156;788;1158.24;524.763;10
2021-02-22-10-20-34-249;1156;788;1157.44;527.639;10
2021-02-22-10-20-34-267;1156;788;1156.71;531.477;10
2021-02-22-10-20-34-283;1156;788;1156.05;536.172;10
2021-02-22-10-20-34-300;1156;788;1155.44;541.622;10
2021-02-22-10-20-34-319;1156;788;1154.9;547.731;10
2021-02-22-10-20-34-335;1156;788;1154.41;554.411;11
2021-02-22-10-20-34-352;1156;788;1153.97;561.577;11
2021-02-22-10-20-34-368;1158;792;1153.59;569.152;11
2021-02-22-10-20-34-385;1161;798;1153.26;577.064;11
2021-02-22-10-20-34-402;1170;806;1153.01;585.245;12
2021-02-22-10-20-34-418;1172;808;1152.85;593.633;12
2021-02-22-10-20-34-436;1176;811;1152.79;602.169;12
2021-02-22-10-20-34-452;1176;813;1152.84;610.802;12
2021-02-22-10-20-34-469;1177;814;1152.99;619.484;13
2021-02-22-10-20-34-486;1178;815;1153.24;628.17;13
2021-02-22-10-20-34-502;1178;816;1153.57;636.82;13
2021-02-22-10-20-34-519;1179;816;1153.99;645.398;13
2021-02-22-10-20-34-535;1179;817;1154.48;653.872;14
2021-02-22-10-20-34-552;1179;817;1155.03;662.213;14
2021-02-22-10-20-34-569;1180;818;1155.65;670.395;14
2021-02-22-10-20-34-585;1180;818;1156.32;678.396;14
2021-02-22-10-20-34-602;1180;818;1157.03;686.197;15
2021-02-22-10-20-34-619;1180;818;1157.78;693.78;15
2021-02-22-10-20-34-636;1180;819;1158.56;701.131;15
2021-02-22-10-20-34-653;1183;822;1159.37;708.239;15
2021-02-22-10-20-34-670;1188;827;1160.22;715.093;16
2021-02-22-10-20-34-687;1197;837;1161.11;721.687;16
2021-02-22-10-20-34-702;1204;847;1162.09;728.014;16
2021-02-22-10-20-34-719;1209;853;1163.16;734.07;16
2021-02-22-10-20-34-736;1213;858;1164.34;739.853;16
2021-02-22-10-20-34-752;1215;861;1165.63;745.362;17
2021-02-22-10-20-34-769;1217;865;1167.03;750.598;17
2021-02-22-10-20-34-786;1223;875;1168.52;755.562;17
2021-02-22-10-20-34-802;1232;887;1170.13;760.258;17
2021-02-22-10-20-34-819;1242;900;1171.87;764.687;17
2021-02-22-10-20-34-836;1251;912;1173.77;768.856;17
2021-02-22-10-20-34-852;1256;919;1175.84;772.769;17
2021-02-22-10-20-34-870;1258;922;1178.07;776.432;17
2021-02-22-10-20-34-890;1259;923;1180.46;779.853;18
2021-02-22-10-20-34-906;1260;924;1182.99;783.038;18
2021-02-22-10-20-34-922;1261;925;1185.63;785.994;18
2021-02-22-10-20-34-940;1262;926;1188.37;788.729;18
2021-02-22-10-20-34-955;1262;926;1191.19;791.252;18
2021-02-22-10-20-34-972;1262;926;1194.07;793.571;18
2021-02-22-10-20-34-989;1262;926;1196.98;795.694;18
2021-02-22-10-20-35-005;1262;926;1199.93;797.629;18
2021-02-22-10-20-35-022;1262;926;1202.88;799.532;18
2021-02-22-10-20-35-039;1262;926;1205.82;801.688;18
2021-02-22-10-20-35-056;1262;926;1208.75;804.209;18
2021-02-22-10-20-35-072;1262;926;1211.65;807.049;18
2021-02-22-10-20-35-089;1262;926;1214.5;810.167;19
2021-02-22-10-20-35-105;1262;926;1217.31;813.521;19
2021-02-22-10-20-35-122;1262;926;1220.06;817.076;19
2021-02-22-10-20-35-139;1262;926;1222.74;820.795;19
2021-02-22-10-20-35-156;1262;926;1225.36;824.646;19
2021-02-22-10-20-35-172;1262;926;1227.89;828.601;19
2021-02-22-10-20-35-190;1262;926;1230.35;832.63;19
2021-02-22-10-20-35-205;1262;926;1232.72;836.71;19
2021-02-22-10-20-35-222;1262;926;1235;840.816;19
2021-02-22-10-20-35-239;1262;926;1237.19;844.927;20
2021-02-22-10-20-35-255;1262;926;1239.3;849.024;20
2021-02-22-10-20-35-272;1262;926;1241.31;853.091;20
2021-02-22-10-20-35-289;1262;926;1243.22;857.11;20
2021-02-22-10-20-35-306;1262;926;1245.05;861.069;20
2021-02-22-10-20-35-322;1262;926;1246.78;864.955;20
2021-02-22-10-20-35-339;1262;926;1248.42;868.757;20
2021-02-22-10-20-35-356;1262;926;1249.96;872.465;20
2021-02-22-10-20-35-373;1262;926;1251.42;876.072;21
2021-02-22-10-20-35-389;1263;927;1252.8;879.57;21
2021-02-22-10-20-35-406;1264;927;1254.09;882.954;21
2021-02-22-10-20-35-422;1264;928;1255.3;886.218;21
2021-02-22-10-20-35-440;1264;928;1256.44;889.36;21
2021-02-22-10-20-35-455;1264;929;1257.51;892.376;21
2021-02-22-10-20-35-471;1264;930;1258.51;895.264;21
2021-02-22-10-20-35-488;1264;930;1259.44;898.023;21
2021-02-22-10-20-35-505;1265;932;1260.31;900.652;21
2021-02-22-10-20-35-521;1269;937;1261.12;903.152;21
2021-02-22-10-20-35-538;1272;941;1261.89;905.523;22
2021-02-22-10-20-35-554;1273;945;1262.63;907.767;22
2021-02-22-10-20-35-571;1280;957;1263.36;909.885;22
2021-02-22-10-20-35-587;1281;962;1264.09;911.878;22
2021-02-22-10-20-35-604;1286;976;1264.83;913.751;22
2021-02-22-10-20-35-620;1287;981;1265.59;915.504;22
2021-02-22-10-20-35-637;1288;992;1266.38;917.143;22
2021-02-22-10-20-35-654;1289;999;1267.2;918.669;22
2021-02-22-10-20-35-670;1290;1005;1268.04;920.086;22
2021-02-22-10-20-35-687;1291;1012;1268.9;921.398;22
2021-02-22-10-20-35-703;1292;1019;1269.78;922.609;22
2021-02-22-10-20-35-720;1292;1028;1270.68;923.722;22
2021-02-22-10-20-35-737;1291;1034;1271.59;924.743;22
2021-02-22-10-20-35-754;1290;1039;1272.5;925.674;22
2021-02-22-10-20-35-770;1290;1043;1273.41;926.519;22
2021-02-22-10-20-35-788;1289;1045;1274.31;927.284;22
2021-02-22-10-20-35-804;1288;1046;1275.2;927.971;22
2021-02-22-10-20-35-821;1288;1047;1276.06;928.586;22
2021-02-22-10-20-35-837;1287;1048;1276.89;929.132;22
2021-02-22-10-20-35-854;1287;1051;1277.69;929.612;22
2021-02-22-10-20-35-871;1288;1055;1278.47;930.031;22
2021-02-22-10-20-35-888;1288;1056;1279.21;930.393;22
2021-02-22-10-20-35-904;1289;1056;1279.92;930.701;22
2021-02-22-10-20-35-920;1289;1056;1280.61;930.959;22
2021-02-22-10-20-35-938;1289;1056;1281.27;931.171;22
2021-02-22-10-20-35-950;1289;1056;1281.91;931.339;22
2021-02-22-10-20-35-967;1289;1056;1282.52;931.467;22
2021-02-22-10-20-35-984;1289;1056;1283.1;931.559;22
2021-02-22-10-20-36-000;1289;1056;1283.65;931.616;22
2021-02-22-10-20-36-017;1289;1057;1284.18;931.643;22
2021-02-22-10-20-36-034;1289;1059;1284.68;931.641;22
2021-02-22-10-20-36-051;1290;1068;1285.15;931.614;22
2021-02-22-10-20-36-067;1293;1079;1285.61;931.564;22
2021-02-22-10-20-36-084;1299;1093;1286.05;931.494;22
2021-02-22-10-20-36-101;1303;1104;1286.52;931.404;22
2021-02-22-10-20-36-117;1308;1124;1287.02;931.299;22
2021-02-22-10-20-36-134;1308;1134;1287.56;931.434;22
2021-02-22-10-20-36-151;1308;1139;1288.14;932.297;22
2021-02-22-10-20-36-168;1306;1154;1288.76;934.07;22
2021-02-22-10-20-36-184;1304;1162;1289.39;936.662;22
2021-02-22-10-20-36-201;1304;1164;1290.04;939.983;23
2021-02-22-10-20-36-218;1303;1165;1290.69;943.951;23
2021-02-22-10-20-36-234;1302;1165;1291.34;948.487;23
2021-02-22-10-20-36-251;1301;1166;1291.97;953.519;23
2021-02-22-10-20-36-267;1300;1166;1292.59;958.976;23
2021-02-22-10-20-36-284;1300;1166;1293.18;964.795;23
2021-02-22-10-20-36-301;1300;1166;1293.75;970.915;24
2021-02-22-10-20-36-317;1300;1166;1294.29;977.281;24
2021-02-22-10-20-36-334;1300;1166;1294.81;983.84;24
2021-02-22-10-20-36-351;1300;1166;1295.31;990.544;24
2021-02-22-10-20-36-368;1300;1166;1295.78;997.35;24
2021-02-22-10-20-36-384;1300;1166;1296.22;1004.22;25
2021-02-22-10-20-36-401;1300;1166;1296.64;1011.11;25
2021-02-22-10-20-36-418;1300;1165;1297.04;1017.99;25
2021-02-22-10-20-36-434;1300;1165;1297.42;1024.83;25
2021-02-22-10-20-36-451;1299;1165;1297.76;1031.61;25
2021-02-22-10-20-36-468;1299;1164;1298.09;1038.29;26
2021-02-22-10-20-36-484;1299;1164;1298.39;1044.86;26
2021-02-22-10-20-36-501;1299;1164;1298.66;1051.29;26
2021-02-22-10-20-36-518;1299;1164;1298.91;1057.58;26
2021-02-22-10-20-36-534;1299;1164;1299.13;1063.7;26
2021-02-22-10-20-36-551;1298;1163;1299.34;1069.64;27
2021-02-22-10-20-36-568;1298;1163;1299.52;1075.4;27
2021-02-22-10-20-36-585;1298;1163;1299.67;1080.96;27
2021-02-22-10-20-36-601;1298;1163;1299.81;1086.32;27
2021-02-22-10-20-36-618;1298;1163;1299.92;1091.46;27
2021-02-22-10-20-36-634;1298;1162;1300.01;1096.4;27
2021-02-22-10-20-36-651;1298;1162;1300.09;1101.12;28
2021-02-22-10-20-36-668;1297;1161;1300.15;1105.62;28
2021-02-22-10-20-36-684;1297;1161;1300.19;1109.9;28
2021-02-22-10-20-36-701;1297;1161;1300.21;1113.97;28
2021-02-22-10-20-36-718;1297;1161;1300.21;1117.83;28
2021-02-22-10-20-36-734;1297;1161;1300.2;1121.47;28
2021-02-22-10-20-36-751;1295;1157;1300.18;1124.9;28
2021-02-22-10-20-36-768;1293;1154;1300.13;1128.13;28
2021-02-22-10-20-36-784;1292;1151;1300.06;1131.15;29
2021-02-22-10-20-36-801;1291;1150;1299.95;1133.98;29
2021-02-22-10-20-36-818;1291;1149;1299.82;1136.62;29
2021-02-22-10-20-36-835;1291;1149;1299.66;1139.07;29
2021-02-22-10-20-36-851;1291;1148;1299.47;1141.35;29
2021-02-22-10-20-36-868;1291;1145;1299.26;1143.45;29
2021-02-22-10-20-36-885;1289;1141;1299.04;1145.39;29
2021-02-22-10-20-36-901;1288;1137;1298.78;1147.17;29
2021-02-22-10-20-36-918;1287;1134;1298.51;1148.79;29
2021-02-22-10-20-36-935;1287;1133;1298.21;1150.27;29
